loc,complexity,churn,commit_frequency,developer_activity,files_modified,historical_defects,defect
148,35,23,30,7,5,5,1
464,14,34,5,71,1,0,1
498,13,52,9,67,8,5,1
260,36,119,30,38,7,5,1
189,22,27,11,31,3,4,1
456,12,16,27,68,10,2,1
128,33,133,16,93,10,1,1
375,34,76,5,52,1,4,1
399,21,20,22,67,8,5,1
476,16,62,3,85,7,1,1
413,14,87,2,36,5,2,1
45,16,111,27,81,8,5,1
404,6,150,19,73,5,4,1
179,3,111,1,100,4,4,1
210,36,71,28,43,4,2,1
136,23,33,8,19,8,1,1
205,26,26,14,76,6,5,1
209,8,51,5,30,5,0,1
258,4,139,20,83,1,5,1
500,10,85,10,55,5,2,0
166,4,19,22,37,5,0,0
332,28,34,18,77,10,1,1
489,24,140,24,85,5,5,1
122,20,128,28,47,1,0,1
143,30,15,7,33,8,1,1
348,1,30,24,54,4,3,1
185,16,5,7,35,2,4,1
233,25,47,14,2,7,5,1
79,22,71,27,80,3,4,1
216,25,108,29,68,4,1,1
72,4,75,11,29,9,5,1
266,31,40,28,12,7,5,0
281,12,100,7,1,2,5,1
27,36,1,29,12,4,4,1
126,29,61,16,69,2,5,1
221,7,140,7,82,5,5,1
87,10,7,27,56,10,2,1
233,14,129,14,66,10,3,1
163,7,145,19,43,8,3,1
464,30,149,20,80,8,5,1
254,39,30,29,14,10,4,1
476,14,18,9,74,4,1,1
337,38,149,5,28,4,3,1
403,30,124,6,16,3,1,1
288,8,93,2,51,2,5,1
163,26,116,23,40,4,4,1
304,1,147,7,66,4,3,1
201,28,73,22,24,6,0,1
242,27,16,8,24,5,4,1
219,26,27,7,12,2,0,1
107,2,15,14,43,3,3,0
450,3,53,10,87,3,3,1
23,18,147,1,29,6,1,1
370,35,7,20,2,5,2,1
261,3,26,25,98,10,5,0
378,22,135,14,80,7,1,1
374,7,98,3,38,8,3,1
205,25,125,2,48,1,2,1
226,10,150,11,17,6,3,1
62,25,29,10,95,4,2,1
443,36,41,14,41,9,4,1
214,4,99,13,61,5,5,1
415,37,9,16,45,8,2,1
249,12,121,23,72,4,1,1
393,35,31,9,54,6,1,1
12,28,102,23,41,7,0,1
11,12,147,5,65,4,4,1
212,1,103,25,84,10,4,1
209,13,39,18,28,10,2,1
22,14,34,25,71,6,1,1
276,14,136,20,19,9,0,1
66,34,97,5,5,10,5,1
166,13,105,3,87,1,0,1
367,26,45,20,26,9,0,1
481,40,137,6,14,10,3,1
193,19,35,1,36,2,3,1
235,31,39,21,45,6,2,1
220,12,120,10,79,1,2,1
10,34,83,16,45,10,0,1
76,38,147,15,96,5,4,1
473,14,139,24,70,9,3,1
192,3,33,16,62,7,2,1
285,38,143,21,17,5,0,1
367,20,71,22,100,10,0,1
85,37,128,5,98,1,3,1
103,7,57,20,37,10,2,1
492,5,21,16,93,6,4,1
355,22,86,2,72,8,4,1
119,32,68,27,94,5,3,1
50,39,140,22,31,10,2,1
166,9,82,24,72,6,2,1
461,24,147,16,68,4,4,1
91,28,40,5,75,6,2,1
315,4,38,1,89,8,4,1
131,15,18,19,26,9,3,1
211,25,60,20,6,7,0,1
446,16,64,17,24,9,4,1
83,20,70,11,75,9,1,1
498,22,10,16,31,2,1,1
87,40,85,20,42,8,3,1
34,18,24,1,4,10,3,1
350,22,47,22,81,4,1,1
130,36,117,6,95,9,1,1
345,21,27,5,95,1,0,1
264,35,12,10,91,6,3,0
258,17,108,25,33,10,3,1
230,28,121,9,51,7,5,1
431,30,71,10,28,7,5,1
327,16,4,29,82,5,4,1
259,40,10,16,83,6,2,1
484,23,26,29,14,4,5,1
230,38,67,24,59,2,0,1
315,26,26,8,53,4,2,1
364,8,62,19,32,6,4,0
20,3,42,26,81,8,4,1
241,25,6,13,94,5,5,1
438,12,55,19,37,9,3,1
493,16,141,29,58,9,4,0
469,4,66,22,98,3,2,1
260,39,106,10,46,8,5,1
383,19,89,12,71,6,4,1
80,15,61,4,20,8,4,1
499,26,9,28,35,10,5,1
113,9,142,1,7,10,3,1
300,3,60,28,34,3,4,1
15,16,20,16,37,6,5,1
69,30,11,28,99,4,1,0
472,30,35,7,5,10,1,1
459,32,118,2,93,5,5,1
101,25,132,1,16,9,5,1
300,9,135,17,83,7,1,1
95,11,83,3,54,7,0,0
158,30,143,6,51,4,0,1
436,38,44,13,34,5,1,1
14,13,16,24,53,1,5,1
319,14,87,5,4,3,0,1
299,40,46,4,59,4,5,1
467,10,69,17,19,5,5,1
215,18,128,8,53,8,5,1
69,39,52,18,73,4,1,1
424,14,67,15,57,3,1,1
94,5,18,23,33,5,4,1
107,31,73,9,56,6,5,1
131,37,145,11,14,6,2,1
228,22,112,19,27,8,3,1
112,23,108,8,11,1,5,1
452,23,85,16,39,8,0,1
146,11,116,27,44,4,4,1
353,27,91,29,42,3,5,1
238,11,93,15,27,1,4,1
446,5,113,26,94,5,5,1
241,7,60,29,68,10,4,1
100,1,76,24,14,3,1,1
300,35,134,7,18,5,3,1
426,21,116,24,95,8,1,1
183,4,25,23,1,4,0,1
455,33,86,30,87,8,0,1
161,30,19,9,16,10,2,1
192,25,115,8,57,2,2,1
129,12,99,12,86,10,3,1
183,21,66,24,61,1,1,1
427,35,52,13,68,8,3,1
309,6,124,13,52,2,0,1
376,11,79,7,81,4,0,1
347,33,75,18,72,6,2,1
424,12,47,8,87,4,0,1
356,40,34,8,15,8,5,1
51,35,126,27,75,6,5,1
370,11,27,9,80,4,0,0
493,39,19,3,30,6,1,0
172,11,149,26,64,5,2,0
256,25,141,29,93,5,3,1
444,15,102,1,87,6,1,1
114,36,34,13,30,7,4,1
317,29,59,16,1,5,1,1
157,29,38,9,83,10,3,1
21,18,62,21,87,4,3,1
317,24,35,4,35,3,2,1
250,37,113,8,86,4,4,1
455,33,97,12,6,5,2,1
229,1,30,20,44,5,5,1
297,6,143,26,94,4,1,1
94,22,15,9,74,2,5,1
454,36,3,3,7,5,1,1
316,36,40,2,90,10,5,1
288,25,130,28,75,5,0,1
165,38,141,18,69,9,3,1
119,23,129,24,29,1,0,1
