loc,complexity,churn,commit_frequency,developer_experience,files_modified,defect,risk_density,complexity_ratio,activity_score
120,15,40,10,5,3,1,0.3333333333333333,5.0,30
80,8,12,4,3,1,0,0.15,8.0,4
150,20,50,15,7,5,1,0.3333333333333333,4.0,75
60,5,8,2,2,1,0,0.13333333333333333,5.0,2
200,25,65,18,8,6,1,0.325,4.166666666666667,108
45,4,6,1,1,1,0,0.13333333333333333,4.0,1
175,22,55,14,6,4,1,0.3142857142857143,5.5,56
90,10,15,5,3,2,0,0.16666666666666666,5.0,10
210,28,70,20,9,7,1,0.3333333333333333,4.0,140
50,3,5,1,1,1,0,0.1,3.0,1
160,18,48,13,5,4,1,0.3,4.5,52
70,6,10,3,2,1,0,0.14285714285714285,6.0,3
190,24,60,17,7,5,1,0.3157894736842105,4.8,85
55,4,7,2,1,1,0,0.12727272727272726,4.0,2
145,16,42,11,5,3,1,0.2896551724137931,5.333333333333333,33
65,5,9,2,2,1,0,0.13846153846153847,5.0,2
220,30,75,22,10,8,1,0.3409090909090909,3.75,176
85,9,14,4,3,2,0,0.16470588235294117,4.5,8
180,23,58,16,6,5,1,0.32222222222222224,4.6,80
40,3,4,1,1,1,0,0.1,3.0,1
